,name,lat,long,rain,temp
72,ปากช่อง สกษ.,"{'Value': '14.643888888888888888888888889', 'Unit': 'decimal degree'}","{'Value': '101.33194444444444444444444445', 'Unit': 'decimal degree'}",24.3,23.5
73,โชคชัย,"{'Value': '14.718888888888888888888888889', 'Unit': 'decimal degree'}","{'Value': '102.16861111111111111111111111', 'Unit': 'decimal degree'}",7.6,26.2
74,สุรินทร์,"{'Value': '14.883333333333333333333333333', 'Unit': 'decimal degree'}","{'Value': '103.5', 'Unit': 'decimal degree'}",45.0,27.2
75,สุรินทร์ สกษ.,"{'Value': '14.883333333333333333333333333', 'Unit': 'decimal degree'}","{'Value': '103.45', 'Unit': 'decimal degree'}",42.9,25.5
76,ท่าตูม,"{'Value': '15.316666666666666666666666667', 'Unit': 'decimal degree'}","{'Value': '103.68333333333333333333333333', 'Unit': 'decimal degree'}",5.6,26.8
77,บุรีรัมย์,"{'Value': '15.225750000000000000000000000', 'Unit': 'decimal degree'}","{'Value': '103.24808333333333333333333333', 'Unit': 'decimal degree'}",9.2,25.7
78,นางรอง,"{'Value': '14.583333333333333333333333333', 'Unit': 'decimal degree'}","{'Value': '102.8', 'Unit': 'decimal degree'}",0.0,26.5
79,สมุทรสงคราม,"{'Value': '13.407777777777777777777777778', 'Unit': 'decimal degree'}","{'Value': '100.03222222222222222222222223', 'Unit': 'decimal degree'}",0.0,29.6
80,อรัญประเทศ,"{'Value': '13.7', 'Unit': 'decimal degree'}","{'Value': '102.58333333333333333333333333', 'Unit': 'decimal degree'}",33.3,27.9
81,สระแก้ว,"{'Value': '13.788888888888888888888888889', 'Unit': 'decimal degree'}","{'Value': '102.03472222222222222222222222', 'Unit': 'decimal degree'}",0.0,27.0
82,กาญจนบุรี,"{'Value': '14.022500000000000000000000000', 'Unit': 'decimal degree'}","{'Value': '99.53583333333333333333333333', 'Unit': 'decimal degree'}",15.8,27.3
83,ทองผาภูมิ,"{'Value': '14.742222222222222222222222222', 'Unit': 'decimal degree'}","{'Value': '98.63638888888888888888888889', 'Unit': 'decimal degree'}",0.0,26.0
